pipeline,headline_rouge1_precision,headline_rouge1_recall,headline_rouge1_f1,headline_rouge2_precision,headline_rouge2_recall,headline_rouge2_f1,headline_rougeL_precision,headline_rougeL_recall,headline_rougeL_f1,headline_bert_precision,headline_bert_recall,headline_bert_f1,summary_rouge1_precision,summary_rouge1_recall,summary_rouge1_f1,summary_rouge2_precision,summary_rouge2_recall,summary_rouge2_f1,summary_rougeL_precision,summary_rougeL_recall,summary_rougeL_f1,summary_bert_precision,summary_bert_recall,summary_bert_f1
claude_modular,0.311015810170222,0.42844107281607285,0.3532029499279342,0.10378044749368279,0.14629023754023754,0.11828009028009027,0.24571774222509518,0.3372622516372516,0.27843550937884015,0.8807561993598938,0.8808919787406921,0.8807862997055054,0.35734595072282044,0.46645489092910086,0.39140912975306347,0.1094648747241604,0.1441551250510837,0.12028159627940253,0.1860813570963401,0.2450886834506678,0.2045833665030426,0.8466938138008118,0.8597270846366882,0.8531116247177124
gemini_modular,0.32244630369630367,0.38955273892773895,0.34396981180861097,0.10272226440570094,0.1210551948051948,0.10675604908773155,0.25844773282273287,0.3063254107004107,0.27326009054851214,0.8851686716079712,0.8814233541488647,0.8832336664199829,0.3925774497967382,0.42008170170155845,0.3939767830682749,0.11599931819010204,0.12566368604223782,0.11672663650823842,0.2123981557106779,0.2282401807440634,0.21307484478602795,0.8719034194946289,0.8707773089408875,0.8712785840034485
openai_modular,0.3467069082877906,0.4343654956154956,0.379101962157829,0.12394730269730267,0.1553180153180153,0.13517043487066369,0.26260465025170904,0.3249762043512044,0.2857508188261759,0.87199866771698,0.880902886390686,0.8763812780380249,0.3581949946674242,0.4367411344409028,0.378900440113797,0.10460933851015242,0.13070938241949337,0.11260988831792759,0.19532169533985444,0.23880920769239075,0.2069644832031532,0.8587978482246399,0.8695383071899414,0.8640538454055786
